,lat,lon,alt
CJU7,53.185,-108.7839,2365
CEW2,52.0003,-106.1014,1790
CJK4,50.6428,-102.1,1725
CBS2,49.2942,-103.0169,1700
CSJ3,49.1531,-103.0011,1955
CYEN,49.2103,-102.9514,1878
CJR4,51.1442,-108.7511,1904
CKN5,49.8689,-103.4344,2225
CZFD,59.3344,-107.1681,2000
CJM5,49.1667,-108.5667,796
CJE5,53.3772,-108.3342,2960
CKF4,54.4167,-109.2333,2250
CJM4,49.8667,-106.5667,1750
CKU6,50.4192,-102.9333,2296
CJK5,50.0578,-108.4839,1964
CJC6,52.7325,-107.3672,2665
CJL2,58.6625,-103.5336,1935
CYHB,52.8183,-102.3011,1370
CJU4,52.1767,-105.1333,1178
CJF3,55.4897,-107.9181,1859
CJM2,51.1461,-103.4175,1394
CKM4,54.8308,-102.7836,2200
CJN2,51.5597,-101.8678,1135
CKV2,52.1261,-103.5181,1510
CJP2,51.9269,-109.1178,1860
CYKJ,57.2564,-105.6167,2208
CYKY,51.5153,-109.1681,1686
CKD5,50.0992,-102.6006,2276
CJB8,50.8333,-108.0669,2154
CJL4,56.4731,-109.4003,2175
CYVC,55.1514,-105.2667,1513
CJX3,55.1147,-105.2844,1244
CSF8,49.49,-102.8681,1225
CJQ2,49.3719,-102.7511,1975
CKC6,51.8453,-104.9842,1950
CJD5,50.8772,-109.5,1750
CJH8,53.0167,-106.75,2201
CKJ9,50.7097,-103.1844,1715
CJT9,53.6206,-107.6008,2050
CKL6,54.2919,-104.6669,1960
CLH6,53.2739,-109.9839,2100
CLC4,50.8456,-104.3172,2117
CJW3,54.0183,-109.1333,1840
CKQ5,50.9942,-107.1181,1790
CKH8,50.6675,-104.7839,2084
CJR2,52.0694,-109.3675,1900
CJJ8,52.3428,-109.9167,2300
CJH3,53.0978,-109.3178,2280
CJS2,56.9494,-102.2339,1994
CJQ4,49.8964,-109.4675,1120
CJQ8,49.8464,-101.5014,2522
CKQ8,57.7675,-105.0172,1885
CYLJ,54.1253,-108.5172,1729
CJZ3,52.8644,-104.7,1577
CJV9,50.9414,-102.7336,1492
CWH6,50.42,-105.5175,1800
CYMJ,50.3303,-105.5508,1879
CJS4,50.4347,-105.3836,1892
CJB5,50.1686,-101.6342,1904
CJV2,52.8314,-109.6339,1853
CKN8,57.7425,-103.9344,2222
CYBU,53.3325,-104.0008,1320
CYQW,52.7692,-108.2344,1220
CSL7,50.3636,-103.7342,1799
CKR9,51.4825,-107.0336,2160
CJW2,49.2239,-102.1344,1771
CKC9,49.6469,-104.6514,1850
CKB2,55.8992,-107.7169,2300
CJW4,55.2872,-102.7347,1431
CTF5,54.3003,-109.9175,1264
CPB5,50.4611,-104.4181,1800
CZPO,55.5281,-106.5681,2000
CYNL,58.2767,-104.0681,1285
CKD2,52.6197,-103.2347,1600
CPV9,50.0389,-107.2506,1635
CJK9,51.95,-102.65,2440
CAL6,53.2286,-105.7506,1750
CYPA,53.2144,-105.6672,1476
CKE2,52.0667,-104.2667,1405
CJL9,52.4631,-107.3675,1750
CKF2,49.4606,-104.2669,1675
CAG2,50.5978,-104.6,2067
CKL9,50.7572,-104.9681,1980
CRQ2,50.4439,-104.6,1850
CYQR,50.4322,-104.6514,1981
CRL7,57.2881,-102.5175,1895
CKC7,49.1667,-105.9333,1128
CJX4,51.5644,-107.9167,2700
CJY4,55.5456,-102.2669,1935
CJP4,52.1319,-106.6342,1003
CJN5,52.0006,-106.4511,1758
CYXE,52.1708,-106.7,1690
CRF5,52.2803,-106.6833,1654
CCB2,55.6886,-103.6008,1700
CJC5,49.6589,-108.4006,1602
