,lat,lon,alt
CPC6,43.9483,-81.2719,1000
CTB2,48.4233,-89.2697,715
CML5,48.2936,-89.5433,1114
CED8,48.5722,-88.8167,700
CYQT,48.3719,-89.3217,654
CYTB,42.9264,-80.7469,893
CTM6,48.4869,-81.3136,950
CYTS,48.5706,-81.3767,968
CNR4,45.2217,-81.6286,700
CNW8,43.6567,-79.3875,500
CPK6,43.5614,-79.7028,523
CTM4,43.6542,-79.3783,528
CNY8,43.7214,-79.3769,612
CYTZ,43.6283,-79.3961,252
CYKZ,43.8608,-79.3686,650
CYZD,43.7428,-79.4656,652
CYYZ,43.6767,-79.6306,569
CPH7,43.8828,-79.2328,704
CNU8,43.9358,-79.2622,807
CYOO,43.9228,-78.8964,460
CPA5,43.6519,-79.6581,560
CPY5,43.6178,-79.5636,370
CTR3,44.0422,-79.8464,823
CPM5,43.9942,-79.7786,1020
CPZ3,44.0694,-77.3381,362
CYTR,44.1189,-77.5281,283
CPU6,44.1847,-77.1078,260
CLW2,45.2108,-79.5044,1010
CKL8,49.0503,-90.4692,1581
CNA5,44.1031,-79.1283,900
CKQ7,49.8797,-93.4364,1284
CVM2,52.8328,-83.9247,291
CNG6,44.1211,-81.1522,875
CSY7,42.5992,-82.3667,581
CWF2,44.4642,-80.6208,1400
CWS2,44.7406,-79.3619,749
CYXZ,47.9669,-84.7864,944
CYWP,52.9594,-87.3753,685
CPB3,42.9775,-79.2497,585
CNQ3,42.98,-79.3247,585
CRL2,44.6656,-76.3986,508
CRM5,42.1431,-82.3625,617
CYVV,44.7442,-81.1086,728
CXX2,52.2169,-90.4631,1228
CYQG,42.2761,-82.9553,622
CWH5,43.8964,-81.3364,1015
CPR7,43.8675,-81.2986,1067
CWH3,43.1056,-80.7544,1046
CPR5,43.1097,-80.8208,1040
CKL3,52.8939,-89.2892,819
CNL8,44.6553,-79.8789,705
CPP6,43.0375,-79.8525,670
CZF2,44.1975,-79.3089,860
